#AC:<1 -1 1  1+ 2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17 18 19 20+
-20:34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17
-19:33,32,31,30,29,28,27,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16
-18:32,31,30,29,28,27,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15
-17:31,30,29,28,27,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14
-16:30,29,28,27,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13
-15:29,28,27,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12
-14:28,27,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11
-13:27,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10
-12:26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9
-11:25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8
-10:24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7
-9: 23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6
-8: 22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5
-7: 21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4
-6: 20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3
-5: 20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2
-4: 20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
-3: 20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
-2: 20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1
-1: 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2
0:  19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3
1:  18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4
2:  17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5
3:  16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6
4:  15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7
5:  14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8
6:  13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9
7:  12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10
8:  11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11
9:  10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12
10: 9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13
11: 8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14
12: 7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15
13: 6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16
14: 5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17
15: 4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
