# CLERIC/DRUID
#AC:LEV1 2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17 18 19 20 21
-20:34,33,32,31,30,30,29,28,28,27,26,26,25,24,24,23,22,22,21,20,20
-19:33,32,31,30,29,29,28,27,27,26,25,25,24,23,23,22,21,21,20,20,20
-18:32,31,30,29,28,28,27,26,26,25,24,24,23,22,22,21,20,20,20,20,20
-17:31,20,29,28,27,27,26,25,25,24,23,23,22,21,21,20,20,20,20,20,20
-16:30,29,28,27,26,26,25,24,24,23,22,22,21,20,20,20,20,20,20,20,20
-15:29,28,27,26,25,25,24,23,23,22,21,21,20,20,20,20,20,20,20,20,20
-14:28,27,26,25,24,24,23,22,22,21,20,20,20,20,20,20,20,20,20,19,19
-13:27,26,25,24,23,23,22,21,21,20,20,20,20,20,20,20,20,20,19,19,19
-12:26,25,24,23,22,22,21,20,20,20,20,20,20,20,20,20,19,19,18,17,17
-11:25,24,23,22,21,21,20,20,20,20,20,20,20,20,20,19,18,18,17,16,16
-10:24,23,22,21,20,20,20,20,20,20,20,20,20,19,19,18,17,17,16,15,15
-9: 23,22,21,20,20,20,20,20,20,20,20,20,19,18,18,17,16,16,15,14,14
-8: 22,21,20,20,20,20,20,20,20,20,19,19,18,17,17,16,15,15,14,13,13
-7: 21,20,20,20,20,20,20,20,20,19,18,18,17,16,16,15,14,14,13,12,12
-6: 20,20,20,20,20,20,20,19,19,18,17,17,16,15,15,14,13,13,12,11,11
-5: 20,20,20,20,20,20,19,18,18,17,16,16,15,14,14,13,12,12,11,10,10
-4: 20,20,20,20,19,19,18,17,17,16,15,15,14,13,13,12,11,11,10,9, 9
-3: 20,20,20,19,18,18,17,16,16,15,14,14,13,12,12,11,10,10,9, 8, 8
-2: 20,20,19,18,17,17,16,15,15,14,13,13,12,11,11,10,9 ,9, 8, 7, 7
-1: 20,19,18,17,16,16,15,14,14,13,12,12,11,10,10,9, 8, 8, 7, 6, 6
0:  19,18,17,16,15,15,14,13,13,12,11,11,10,9, 9, 8, 7, 7, 6, 5, 5
1:  18,17,16,15,14,14,13,12,12,11,10,10,9, 8, 8, 7, 6, 6, 5, 4, 4
2:  17,16,15,14,13,13,12,11,11,10,9, 9, 8, 7, 7, 6, 5, 5, 4, 3, 3
3:  16,15,14,13,12,12,11,10,10,9, 8, 8, 7, 6, 6, 5, 4, 4, 3, 2, 2
4:  15,14,13,12,11,11,10,9, 9, 8, 7, 7, 6, 5, 5, 4, 3, 3, 2, 1, 1
5:  14,13,12,11,10,10,9, 8, 8, 7, 6, 6, 5, 4, 4, 3, 2, 2, 1, 0, 0
6:  13,12,11,10,9, 9, 8, 7, 7, 6, 5, 5, 4, 3, 3, 2, 1, 1, 0,-1,-1
7:  12,11,10,9, 8, 8, 7, 6, 6, 5, 4, 4, 3, 2, 2, 1, 0, 0,-1,-2,-2
8:  11,10,9, 8, 7, 7, 6, 5, 5, 4, 3, 3, 2, 1, 1, 0,-1,-1,-2,-3,-3
9:  10,9, 8, 7, 6, 6, 5, 4, 4, 3, 2, 2, 1, 0, 0,-1,-2,-2,-3,-4,-4
10: 9,8, 7, 6, 5, 5, 4, 3, 3, 2, 1, 1, 0,-1,-1,-2,-3,-3,-4,-5,-5
11: 8,7, 6, 5, 4, 4, 3, 2, 2, 1, 0, 0,-1,-2,-2,-3,-4,-4,-5,-6,-6
12: 7,6, 5, 4, 3, 3, 2, 1, 1, 0,-1,-1,-2,-3,-3,-4,-5,-5,-6,-7,-7
13: 6,5, 4, 3, 2, 2, 1, 0, 0,-1,-2,-2,-3,-4,-4,-5,-6,-6,-7,-8,-8
14: 5,4, 3, 2, 1, 1, 0,-1,-1,-2,-3,-3,-4,-5,-5,-6,-7,-7,-8,-9,-9
15: 4,3, 2, 1, 0, 0,-1,-2,-2,-3,-4,-4,-5,-6,-6,-7,-8,-8,-9,-10,-10
