# MAGIC USERS
#AC:1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17 18 19 20 21
-20:35,34,34,33,33,32,31,31,30,30,29,28,28,27,27,26,26,25,25,24,24
-19:34,33,33,32,32,31,30,30,29,29,28,27,27,26,26,25,25,24,24,23,23
-18:33,32,32,31,31,30,29,29,28,28,27,26,26,25,25,24,24,23,23,22,22
-17:32,31,31,30,30,29,28,28,27,27,26,25,25,24,24,23,23,22,22,21,21
-16:31,30,30,29,29,28,27,27,26,26,25,24,24,23,23,22,22,21,21,20,20
-15:30,29,29,28,28,27,26,26,25,25,24,23,23,22,22,21,21,20,20,20,20
-14:29,28,28,27,27,26,25,25,24,24,23,22,22,21,21,20,20,20,20,20,20
-13:28,27,27,26,26,25,24,24,23,23,22,21,21,20,20,20,20,20,20,20,20
-12:27,26,26,25,25,24,23,23,22,22,21,20,20,20,20,20,20,20,20,20,20
-11:26,25,25,24,24,23,22,22,21,21,20,20,20,20,20,20,20,20,20,20,20
-10:25,24,24,23,23,22,21,21,20,20,20,20,20,20,20,20,20,20,20,19,19
-9: 24,23,23,22,22,21,20,20,20,20,20,20,20,20,20,20,20,19,19,18,18
-8: 23,22,22,21,21,20,20,20,20,20,20,20,20,20,20,19,19,18,18,17,17
-7: 22,21,21,20,20,20,20,20,20,20,20,20,20,19,19,18,18,17,17,16,16
-6: 21,20,20,20,20,20,20,20,20,20,20,19,19,18,18,17,17,16,16,15,15
-5: 20,20,20,20,20,20,20,20,20,20,19,18,18,17,17,16,16,15,15,14,14
-4: 20,20,20,20,20,20,20,20,19,19,18,17,17,16,16,15,15,14,14,13,13
-3: 20,20,20,20,20,20,19,19,18,18,17,16,16,15,15,14,14,13,13,12,12
-2: 20,20,20,20,20,19,18,18,17,17,16,15,15,14,14,13,13,12,12,11,11
-1: 20,20,20,19,19,18,17,17,16,16,15,14,14,13,13,12,12,11,11,10,10
0:  20,19,19,18,18,17,16,16,15,15,14,13,13,12,12,11,11,10,10,9,9
1:  19,18,18,17,17,16,15,15,14,14,13,12,12,11,11,10,10,9,9,8,8
2:  18,17,17,16,16,15,14,14,13,13,12,11,11,10,10,9,9,8,8,7,7
3:  17,16,16,15,15,14,13,13,12,12,11,10,10,9,9,8,8,7,7,6,6
4:  16,15,15,14,14,13,12,12,11,11,10,9,9,8,8,7,7,6,6,5,5
5:  15,14,14,13,13,12,11,11,10,10,9,8,8,7,7,6,6,5,5,4,4
6:  14,13,13,12,12,11,10,10,9,9,8,7,7,6,6,5,5,4,4,3,3
7:  13,12,12,11,11,10,9,9,8,8,7,6,6,5,5,4,4,3,3,2,2
8:  12,11,11,10,10,9,8,8,7,7,6,5,5,4,4,3,3,2,2,1,1
9:  11,10,10,9,9,8,7,7,6,6,5,4,4,3,3,2,2,1,1,0,0
10: 10,9,9,8,8,7,6,6,5,5,4,3,3,2,2,1,1,0,0,-1,-1
11: 9,8,8,7,7,6,5,5,4,4,3,2,2,1,1,0,0,-1,-1,-2,-2
12: 8,7,7,6,6,5,4,4,3,3,2,1,1,0,0,-1,-1,-2,-2,-3,-3
13: 7,6,6,5,5,4,3,3,2,2,1,0,0,-1,-1,-2,-2,-3,-3,-4,-4
14: 6,5,5,4,4,3,2,2,1,1,0,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5
15: 5,4,4,3,3,2,1,1,0,0,-1,-2,-2,-3,-3,-4,-4,-5,-5,-6,-6
