# Fighters, Monks, Barbs, Zerkers, Knights
#AC:<0 0  1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17 18 19 20 21
-20:35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,20,20,20,20,20,19,18
-19:34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17
-18:33,32,31,30,29,28,27,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16
-17:32,31,30,29,28,27,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15
-16:31,30,29,28,27,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14
-15:30,29,28,27,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13
-14:29,28,27,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12
-13:28,27,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11
-12:27,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10
-11:26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9
-10:25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8
-9: 24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7
-8: 23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6
-7: 22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5
-6: 21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4
-5: 20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3
-4: 20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2
-3: 20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
-2: 20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
-1: 20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1
0:  20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2
1:  19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3
2:  18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4
3:  17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5
4:  16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6
5:  15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7
6:  14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8
7:  13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9
8:  12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10
9:  11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11
10: 10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12
11: 9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13
12: 8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14
13: 7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15
14: 6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16
15: 5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17
